id,equippedWearables,owner.id
122,"[0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0xbf5c6d85510e491cd45d1264fffec0c2c4282564
1220,"[138, 55, 57, 21, 130, 141, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x451047fd0056c602481477adb302f281c66f82ad
1224,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0xc84fd9570231e20e59fba328d61e1bc4bcbab39a
1229,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0xe9b928ea3e9f1100b71ffa09a69f8598a40261b7
123,"[0, 0, 0, 77, 130, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0xffea5a2cfaf1aafbb87a1fe4eed5413da45c30a0
1231,"[43, 140, 36, 42, 148, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0xa1301bc880de06b84be4d9150105c6b8cc6202b2
1233,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x60ed33735c9c29ec2c26b8ec734e36d5b6fa1eab
1234,"[25, 18, 117, 24, 121, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x3f0c46fd387de612ea24cb0c21d06e430da02fd1
1236,"[91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0xd61daebc28274d1feaaf51f11179cd264e4105fb
124,"[31, 55, 57, 62, 58, 106, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0xea9f5bdeb29362552c262a31d10c0d05a1badb53
1240,"[160, 157, 36, 48, 29, 118, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x67922a9561423548a9ccfd67ad80d6c637c26bfe
1241,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x67922a9561423548a9ccfd67ad80d6c637c26bfe
1243,"[78, 0, 66, 144, 69, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x0584ca5e6c86f8040ed149cbcc2dabcc03084554
1244,"[88, 146, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0xfd41bef1fd45d7db65fb8f4cd3804e4c8daff6b9
1245,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0xa8f32cceb477d30a5e6603b498f01c6170175f1f
1249,"[5, 0, 0, 131, 76, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x071d217637b6322a7faac6895a9eb00e529d3424
125,"[112, 0, 0, 42, 64, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x9216bc608000c948c5dee16180bb6bea837b5914
1252,"[25, 18, 66, 21, 23, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x9b1f13eddba3c852d6c38bb23441ef4962d18040
1254,"[0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0xe908ce29a8a8ee72a2ca6902ec6489f1697a06cf
1274,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x10b989914a478ed7de2d2c4cc4e835bbd3de229b
1275,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0xea9f5bdeb29362552c262a31d10c0d05a1badb53
