id,listingID,erc1155TypeId,priceInWei,quantity,timeLastPurchased
149201_0xf667db9883f7bcad47c56e25816460811f59912f_1630480244,149201,135,49000000000000000000,1,1630480244
149203_0xa7f1c77998bae58614be010ad2a806639e280056_1630923608,149203,36,25000000000000000000,1,1630923608
1495_0x108f548b4aee4a5d26dd066a3cec3471e5398a9b_1632968860,1495,79,350000000000000000000,1,1632968860
149569_0x9c0fe354f36fd0717e9d41e2a3c1d325f450d824_1630538580,149569,43,135000000000000000000,1,1630538580
149571_0x3a0ee1a6edfbf1893b7512f5c1b0f6183368505c_1631417371,149571,132,246000000000000000000,1,1631417371
149631_0xb6a36c05d3b414ce58b570fcad33f47dcc0b7a85_1632551729,149631,96,60000000000000000000,1,1632551729
149813_0x6a0132b33eb56f760d705a0fa947267304551719_1631853684,149813,41,50000000000000000000,1,1631853684
150136_0x4ce15dc5220e4d1db28a68beeb5d7c6fd121f715_1631187807,150136,38,14900000000000000000,1,1631187807
150331_0xd98695e2fce07e908c9f523387b1b1f8eb9d41ec_1633023190,150331,151,120000000000000000000,1,1633023190
150343_0x7d9fb540504d8f277099472b89113485f712c546_1630799155,150343,205,21000000000000000000,1,1630799155
150406_0x55f1b72d43d85931c58018fbd7bf9d9142443216_1631915924,150406,78,20000000000000000000,1,1631915924
150837_0x26cf02f892b04af4cf350539ce2c77fcf79ec172_1631187057,150837,38,14500000000000000000,1,1631187057
150845_0x830d9c0c284a1a76b606a3fdd3be1dc253bf268b_1631088413,150845,18,39500000000000000000,1,1631088413
150845_0x8feebfa4ac7af314d90a0c17c3f91c800cfde44b_1631163295,150845,18,39500000000000000000,1,1631163295
150878_0x56c70fe90ea38043b55a67a7ffd81f7309155e5c_1632843334,150878,7,169000000000000000000,1,1632843334
150931_0xb8972e9db4c65a681312b85b12827d0426b655f4_1633029772,150931,23,58000000000000000000,1,1633029772
150931_0xd98695e2fce07e908c9f523387b1b1f8eb9d41ec_1632995590,150931,23,58000000000000000000,1,1632995590
150962_0x89584a65dfaa7e4949f5495191f3806c3589f10c_1632824653,150962,130,50000000000000000000,1,1632824653
151092_0x6fce63859a859a0f30ed09b12f5010d790618ca4_1631384958,151092,28,666000000000000000000,1,1631384958
151190_0xa7f1c77998bae58614be010ad2a806639e280056_1630924134,151190,134,10000000000000000000,1,1630924134
